Series ID,Annual 2010,Annual 2011,Annual 2012,Annual 2013,Annual 2014,Annual 2015,Annual 2016,Annual 2017,Annual 2018,Annual 2019,Annual 2020
CEU6054170001,623.1,630.3,638.6,634.9,638.8,661.8,670.6,665.2,692.6,732.7,763.5
CEU6054180001,409.6,424.4,435.9,454.1,475.2,484.2,492.7,490.6,490.3,490.5,450.0
CEU6054190001,576.3,592.9,610.1,626.5,635.0,655.4,681.7,708.6,736.8,753.9,738.3
CEU6055000001,1919.4,1982.9,2074.9,2156.7,2224.3,2265.4,2305.3,2363.9,2431.8,2479.7,2411.8
CEU6056000001,7419.1,7737.3,8021.8,8296.5,8564.1,8823.3,8981.2,9141.5,9294.3,9318.9,8529.0
CEU6056100001,7061.8,7372.0,7649.9,7919.1,8178.0,8426.8,8577.1,8726.3,8858.0,8867.6,8082.0
CEU6056110001,406.9,418.4,428.4,449.8,458.9,471.2,490.6,506.5,514.1,531.0,521.4
CEU6056120001,133.4,130.1,127.8,132.0,133.8,140.4,144.0,150.6,155.7,164.4,157.0
CEU6056130001,2723.5,2943.2,3135.2,3269.7,3408.1,3528.3,3537.9,3595.1,3656.6,3617.6,3117.3
CEU6056132001,2094.2,2313.6,2496.0,2617.6,2760.8,2877.6,2889.1,2939.7,2988.5,2950.2,2522.4
CEU6056140001,810.7,816.7,830.7,858.3,879.7,895.9,912.0,904.4,895.3,875.7,815.3
CEU6056150001,185.6,190.4,191.6,194.5,196.4,205.1,217.1,218.4,219.9,218.8,165.1
CEU6056160001,781.5,801.4,814.7,834.8,854.8,872.2,899.7,919.6,945.8,950.9,906.8
CEU6056170001,1745.0,1788.6,1830.0,1884.7,1943.9,2006.6,2062.8,2111.2,2144.8,2173.7,2101.0
CEU6056190001,275.3,283.3,291.3,295.2,302.5,307.0,313.1,320.5,325.9,335.5,298.1
CEU6056200001,357.3,365.3,371.9,377.5,386.1,396.5,404.1,415.2,436.3,451.3,447.0
CEU6500000001,19975,20318,20769,21086,21439,22029,22639,23188,23638,24163,23275
CEU6561000001,3155.1,3249.6,3341.1,3354.4,3416.6,3471.9,3569.5,3668.4,3714.9,3741.4,3478.4
CEU6562000001,16820.0,17068.6,17428.1,17731.1,18022.2,18557.4,19068.8,19519.6,19922.6,20421.1,19796.3
CEU6562000101,13776.9,14025.9,14281.6,14491.5,14676.5,15042.3,15413.5,15716.6,15964.3,16269.1,15849.6
CEU6562100001,5974.7,6136.2,6306.5,6476.5,6631.5,6855.5,7080.0,7297.3,7477.4,7704.4,7498.2
CEU6562110001,2263.9,2294.6,2339.8,2378.0,2411.2,2471.0,2526.5,2581.4,2615.8,2673.2,2631.6
CEU6562120001,828.0,844.2,853.7,870.2,887.0,904.6,922.5,935.7,950.8,974.4,889.1
CEU6562130001,671.3,696.9,726.9,751.8,779.9,812.7,854.7,889.2,929.4,973.6,925.6
CEU6562140001,648.7,670.2,699.0,731.1,763.7,805.7,853.0,897.2,931.4,969.1,970.3
CEU6562150001,227.6,231.6,235.5,243.1,249.3,260.0,265.9,268.9,275.2,283.1,282.2
CEU6562160001,1084.6,1140.3,1185.0,1230.3,1262.4,1314.7,1365.3,1419.6,1467.0,1518.5,1494.6
CEU6562190001,250.6,258.3,266.5,272.0,278.1,286.9,292.2,305.4,307.8,312.4,304.8
CEU6562200001,4678.5,4721.7,4779.0,4785.8,4786.8,4895.8,5015.2,5071.8,5129.8,5189.7,5137.4
CEU6562300001,3123.7,3168.1,3196.2,3229.2,3258.2,3290.9,3318.3,3347.5,3357.2,3375.0,3214.0
CEU6562310001,1657.1,1669.6,1662.8,1653.8,1650.3,1648.3,1641.5,1627.1,1606.8,1596.3,1499.3
CEU6562320001,564.8,570.6,582.6,594.4,603.7,607.0,616.1,631.6,641.9,646.9,622.7
CEU6562330001,741.4,769.9,792.2,821.7,843.8,873.3,896.1,922.3,944.0,967.1,932.2
CEU6562390001,160.4,158.1,158.5,159.2,160.4,162.4,164.6,166.5,164.5,164.8,159.8
CEU6562400001,3043.1,3042.6,3146.5,3239.6,3345.6,3515.1,3655.3,3803.0,3958.3,4152.0,3946.7
CEU6562410001,1664.2,1701.2,1797.2,1901.2,2009.1,2144.1,2241.7,2353.1,2480.4,2623.0,2617.4
CEU6562420001,142.8,144.8,143.8,147.6,151.0,156.0,162.2,168.8,176.5,184.5,185.9
